rn,bnk_type,cregnum,ogrn,bnk_name,opf,reg_date,lic_status,bnk_addr,regn,bank_name,bank_name_norm
137,,435,1037700041323.0,"ПАО ""СПБ Банк""",ПАО,1990-10-03,Действующая,"123112, город Москва, муниципальный округ Пресненский, 1-й Красногвардейский проезд, дом 15, помещение 1/37",435,"ПАО ""СПБ Банк""",СПБ БАНК
138,,3235,1027800000910.0,"АО ""СЭБ Банк""",НПАО,1995-03-15,Действующая,"195009, г. Санкт-Петербург, ул. Михайлова, д.11",3235,"АО ""СЭБ Банк""",СЭБ БАНК
139,,2228,1027800000470.0,"АО АКБ ""Констанс-Банк""",НПАО,1993-01-11,Отозванная,"190000, Санкт-Петербург, ул. Большая Морская, д.55, литера ""А""",2228,"АО АКБ ""Констанс-Банк""",КОНСТАНС-БАНК
140,,1,1027739082106.0,АО ЮниКредит Банк,НПАО,1991-11-15,Действующая,"119034,  г. Москва, Пречистенская набережная, д.9",1,АО ЮниКредит Банк,ЮНИКРЕДИТ БАНК
141,,1073,1027739837366.0,БАНК РСБ 24 (АО),НПАО,1990-12-05,Отозванная,"129090, г. Москва,  просп. Мира, д. 3, строение 3",1073,БАНК РСБ 24 (АО),РСБ 24
142,,121,1027739198387.0,"АО АКБ ""ЦентроКредит""",НПАО,1992-02-28,Действующая,"119017,  г. Москва, ул.Пятницкая, д.31/2, стр. 1",121,"АО АКБ ""ЦентроКредит""",ЦЕНТРОКРЕДИТ
143,,1326,1027700067328.0,"АО ""АЛЬФА-БАНК""",НПАО,1991-01-03,Действующая,"107078,  г. Москва, ул. Каланчевская, д. 27",1326,"АО ""АЛЬФА-БАНК""",АЛЬФА-БАНК
144,,2664,1027739228758.0,"АКБ ""СЛАВИЯ"" (АО)",НПАО,1994-01-27,Действующая,"117292,  г. Москва, ул. Кедрова, д.5А",2664,"АКБ ""СЛАВИЯ"" (АО)",СЛАВИЯ
145,,1405,1027739149778.0,"ПАО АРКБ ""Росбизнесбанк""",ПАО,1991-03-11,Отозванная,"115162,  г. Москва, ул. Мытная, д. 44, строение 12, офис 1-54",1405,"ПАО АРКБ ""Росбизнесбанк""",АРКБ РОСБИЗНЕСБАНК
146,,1414,1027739049370.0,ПАО М2М Прайвет Банк,ПАО,1991-03-21,Отозванная,"125009,  г. Москва, Леонтьевский переулок, д. 21/1, стр. 1",1414,ПАО М2М Прайвет Банк,М2М ПРАЙВЕТ БАНК
147,,1521,1027739265355.0,"АКИБ ""ОБРАЗОВАНИЕ"" (АО)",НПАО,1991-07-10,Отозванная,"119296,  г. Москва, Ленинский проспект, д. 63/2, корпус 1",1521,"АКИБ ""ОБРАЗОВАНИЕ"" (АО)",АКИБ ОБРАЗОВАНИЕ
148,,1555,1027739165409.0,"Банк ""Солидарность"" АО",НПАО,1991-09-02,Отозванная,"119334,  г. Москва, Ленинский проспект, дом 37, корпус 1",1555,"Банк ""Солидарность"" АО",СОЛИДАРНОСТЬ
