rn,bnk_type,cregnum,ogrn,bnk_name,opf,reg_date,lic_status,bnk_addr,regn,bank_name,bank_name_norm
1502,,615,1032700003830.0,"АКБ ""Дальстройбанк""",ОАО (АО),1990-10-26,Ликвидация,,615,"АКБ ""Дальстройбанк""",ДАЛЬСТРОЙБАНК
1503,,2483,,"ОАО ""КАРЕЛСОЦБАНК""",ОАО (АО),1993-09-08,Ликвидация,,2483,"ОАО ""КАРЕЛСОЦБАНК""",КАРЕЛСОЦБАНК
1504,,1101,,"БАНК ""МОСКОВСКИЙ КРЕДИТ""",АОЗТ (АО),1990-12-05,Ликвидация,,1101,"БАНК ""МОСКОВСКИЙ КРЕДИТ""",МОСКОВСКИЙ КРЕДИТ
1505,,830,1022601958785.0,"ОАО ""Нефтестройкомбанк""",ОАО (АО),1990-11-20,Ликвидация,,830,"ОАО ""Нефтестройкомбанк""",НЕФТЕСТРОЙКОМБАНК
1506,,1165,1027600000031.0,"АО ""Кредпромбанк""",НПАО,1990-12-12,Ликвидация,,1165,"АО ""Кредпромбанк""",КРЕДПРОМБАНК
1507,,2810,1027739484321.0,"ОАО АКБ ""Русский земельный банк""",ОАО (АО),1994-04-29,Ликвидация,,2810,"ОАО АКБ ""Русский земельный банк""",РУССКИЙ ЗЕМЕЛЬНЫЙ БАНК
1508,,1088,1027739534052.0,"КБ ""МАК-банк"" (ООО)",ООО (Паевое),1990-12-05,Ликвидация,,1088,"КБ ""МАК-банк"" (ООО)",МАК-БАНК
1509,,1892,1027739554204.0,"ОАО ""АСБ-банк""",ОАО (АО),1992-06-01,Ликвидация,,1892,"ОАО ""АСБ-банк""",АСБ-БАНК
1510,,3181,1027739409170.0,"ООО КБ ""МНИБ""",ООО (Паевое),1994-12-16,Ликвидация,,3181,"ООО КБ ""МНИБ""",МНИБ
1511,,1970,,"ООО КБ ""ПЕНТАБАНК""",ООО (Паевое),1992-07-16,Ликвидация,,1970,"ООО КБ ""ПЕНТАБАНК""",ПЕНТАБАНК
1512,,3481,1087711000024.0,"ООО ""Банк ПСА Финанс РУС""",ООО (Паевое),2008-03-13,Ликвидация,,3481,"ООО ""Банк ПСА Финанс РУС""",ПСА ФИНАНС РУС
1513,,3044,1027739154596.0,"КБ ""Московский Капитал"" (ООО)",ООО (Паевое),1994-08-10,Ликвидация,,3044,"КБ ""Московский Капитал"" (ООО)",МОСКОВСКИЙ КАПИТАЛ
1514,,2447,1021800000551.0,(ОАО Удмуртинвестстройбанк),ОАО (АО),1993-08-03,Ликвидация,,2447,(ОАО Удмуртинвестстройбанк),УДМУРТИНВЕСТСТРОЙБАНК
1515,,3456,1057711007023.0,"ООО ""Морган Стэнли Банк""",ООО (Паевое),2005-06-08,Ликвидация,,3456,"ООО ""Морган Стэнли Банк""",МОРГАН СТЭНЛИ БАНК
1516,,3404,1027700427226.0,"ООО ""Трастовый Республиканский Банк""",ООО (Паевое),2002-04-11,Ликвидация,,3404,"ООО ""Трастовый Республиканский Банк""",ТРАСТОВЫЙ РЕСПУБЛИКАНСКИЙ БАНК
1517,,1556,,"АКБ ""Башэнергобанк""",ОАО (АО),1991-09-05,Ликвидация,,1556,"АКБ ""Башэнергобанк""",БАШЭНЕРГОБАНК
1518,,3210,1027739223445.0,"ООО ""ЭКСПОРТБАНК""",ООО (Паевое),1995-02-08,Ликвидация,,3210,"ООО ""ЭКСПОРТБАНК""",ЭКСПОРТБАНК
1519,,1977,1032500009354.0,"АКБ ""ЭВРОБАНК""",ОАО (АО),1992-07-27,Ликвидация,,1977,"АКБ ""ЭВРОБАНК""",ЭВРОБАНК
1520,,1951,1027739051053.0,"ООО ""ТАНДЕМБАНК""",ООО (Паевое),1992-07-02,Ликвидация,,1951,"ООО ""ТАНДЕМБАНК""",ТАНДЕМБАНК
1521,,1470,1027700159288.0,"ПАО АКБ ""Связь-Банк""",ПАО,1991-05-20,Ликвидация,,1470,"ПАО АКБ ""Связь-Банк""",СВЯЗЬ-БАНК
1522,,1070,1037700137562.0,"АКБ ""ЭЛЕКТРОБАНК""",ОАО (АО),1990-12-05,Ликвидация,,1070,"АКБ ""ЭЛЕКТРОБАНК""",ЭЛЕКТРОБАНК
1523,,2975,1026600000052.0,"""СБ ""ГУБЕРНСКИЙ"" (ОАО)",ОАО (АО),1994-07-18,Ликвидация,,2975,"""СБ ""ГУБЕРНСКИЙ"" (ОАО)",СБ ГУБЕРНСКИЙ
1524,,1340,1024100000088.0,"ОАО ""НАШ БАНК""",ОАО (АО),1991-01-15,Ликвидация,,1340,"ОАО ""НАШ БАНК""",НАШ БАНК
1525,,3259,1027739325460.0,"ЗАО КБ ""ИБЕРУС""",ЗАО (АО),1995-06-28,Ликвидация,,3259,"ЗАО КБ ""ИБЕРУС""",ИБЕРУС
1526,,3345,1027700338379.0,"ООО КБ ""Объединенный банк развития""",ООО (Паевое),2000-02-07,Ликвидация,,3345,"ООО КБ ""Объединенный банк развития""",ОБЪЕДИНЕННЫЙ БАНК РАЗВИТИЯ
1527,,2357,1067711005130.0,"ОАО КБ ""ИНФОБАНК""",ОАО (АО),1993-06-01,Ликвидация,,2357,"ОАО КБ ""ИНФОБАНК""",ИНФОБАНК
1528,,3216,1027700571579.0,"КБ ""Интерконтиненталь""",ООО (Паевое),1995-02-10,Ликвидация,,3216,"КБ ""Интерконтиненталь""",ИНТЕРКОНТИНЕНТАЛЬ
1529,,3493,1097711000012.0,"ООО КБ ""Н-БАНК""",ООО (Паевое),2009-02-16,Ликвидация,,3493,"ООО КБ ""Н-БАНК""",Н-БАНК
1530,,3150,1027800000293.0,"КБ ""СПБРР"" ОАО",ОАО (АО),1994-11-02,Ликвидация,,3150,"КБ ""СПБРР"" ОАО",СПБРР
1531,,3519,1135000001652.0,"ООО ""Фибабанк""",ООО (Паевое),2013-04-02,Ликвидация,,3519,"ООО ""Фибабанк""",ФИБАБАНК
1532,,2987,1037744002482.0,"АКБ ""ИНТЕЛЛЕКТ-БАНК""",ЗАО (АО),1994-07-20,Ликвидация,,2987,"АКБ ""ИНТЕЛЛЕКТ-БАНК""",ИНТЕЛЛЕКТ-БАНК
1533,,1610,1025000000057.0,"КБ ""КРЕДИТ-КОНТАКТ"" (ООО)",ООО (Паевое),1991-11-01,Ликвидация,,1610,"КБ ""КРЕДИТ-КОНТАКТ"" (ООО)",КРЕДИТ-КОНТАКТ
1534,,1833,1030500001058.0,"ООО КБ ""НУР""",ООО (Паевое),1992-02-28,Ликвидация,,1833,"ООО КБ ""НУР""",НУР
1535,,2613,1022980000010.0,АСКБ,ТОО (Паевое),1993-12-13,Ликвидация,,2613,АСКБ,АСКБ
1536,,2878,1037739738849.0,"АКБ ""Объединенный промышленный банк""",ОАО (АО),1994-06-09,Ликвидация,,2878,"АКБ ""Объединенный промышленный банк""",ОБЪЕДИНЕННЫЙ ПРОМЫШЛЕННЫЙ БАНК
1537,,3201,1027739513416.0,"АКБ ""Первый Капитал"" (ЗАО)",ЗАО (АО),1995-01-17,Ликвидация,,3201,"АКБ ""Первый Капитал"" (ЗАО)",ПЕРВЫЙ КАПИТАЛ
1538,,3108,1027739446987.0,"ЗАО ""Межсоцбанк""",ЗАО (АО),1994-10-05,Ликвидация,,3108,"ЗАО ""Межсоцбанк""",МЕЖСОЦБАНК
1539,,3167,1037739735208.0,"КБ ""БВТ"" (ооо)",ООО (Паевое),1994-12-02,Ликвидация,,3167,"КБ ""БВТ"" (ооо)",БВТ
1540,,1520,1030200003723.0,"ООО МКБ ""ДАИР""",ООО (Паевое),1991-07-10,Ликвидация,,1520,"ООО МКБ ""ДАИР""",МКБ ДАИР
1541,,226,1027700351106.0,"АО КБ ""РосинтерБанк""",НПАО,1991-12-12,Ликвидация,,226,"АО КБ ""РосинтерБанк""",РОСИНТЕРБАНК
1542,Расчетная НКО,149,1024900000180.0,"НКО ""Континент Финанс"" (ПАО)",ПАО,1991-04-23,Ликвидация,,149,"НКО ""Континент Финанс"" (ПАО)",КОНТИНЕНТ ФИНАНС
1543,,667,1028600002023.0,"ООО ""Урайкомбанк""",ООО (Паевое),1990-10-31,Ликвидация,,667,"ООО ""Урайкомбанк""",УРАЙКОМБАНК
1544,,258,1027800002009.0,"(""РОКОБАНК"")",АООТ (АО),1991-12-29,Ликвидация,,258,"(""РОКОБАНК"")",РОКОБАНК
1545,,3391,1027739064396.0,"ЗАО ""БДК""",ЗАО (АО),2002-01-23,Ликвидация,,3391,"ЗАО ""БДК""",БДК
1546,,1418,1047711007310.0,"АКБ ""Мир""",ОАО (АО),1992-05-20,Ликвидация,,1418,"АКБ ""Мир""",МИР
1547,,3039,1027739710327.0,"ОАО ""МБТС-БАНК""",ОАО (АО),1994-08-04,Ликвидация,,3039,"ОАО ""МБТС-БАНК""",МБТС-БАНК
1548,,1338,1022800000090.0,"ОАО ""Супербанк""",ОАО (АО),1991-01-11,Ликвидация,,1338,"ОАО ""Супербанк""",СУПЕРБАНК
1549,,1906,1027700572162.0,РАТО-БАНК,АООТ (АО),1992-06-11,Ликвидация,,1906,РАТО-БАНК,РАТО-БАНК
1550,,545,1024100000077.0,"ПАО ""Камчаткомагропромбанк""",ПАО,1990-10-22,Ликвидация,,545,"ПАО ""Камчаткомагропромбанк""",КАМЧАТКОМАГРОПРОМБАНК
1551,,2369,,КБ Казачество,ТОО (Паевое),1993-06-07,Ликвидация,,2369,КБ Казачество,КАЗАЧЕСТВО
1552,,2757,,Р.О.С. трансбанк,ТОО (Паевое),1994-03-18,Ликвидация,,2757,Р.О.С. трансбанк,Р.О.С. ТРАНСБАНК
1553,,3214,1027700022570.0,"АКБ ""НБВК"" (АО)",НПАО,1995-02-09,Ликвидация,,3214,"АКБ ""НБВК"" (АО)",НБВК
1554,,3397,1027739066739.0,"КБ ""ССтБ"" (ООО)",ООО (Паевое),2002-02-06,Ликвидация,,3397,"КБ ""ССтБ"" (ООО)",ССТБ
1555,,116,1027739216900.0,"АКБ ""МСБ"" (ОАО)",ОАО (АО),1991-12-11,Ликвидация,,116,"АКБ ""МСБ"" (ОАО)",МСБ
1556,,1290,,АКБП,ОАО (АО),1990-12-26,Ликвидация,,1290,АКБП,АКБП
1557,,1676,1025000002015.0,"ООО ""ЕВРАЗБАНК""",ООО (Паевое),1991-12-24,Ликвидация,,1676,"ООО ""ЕВРАЗБАНК""",ЕВРАЗБАНК
1558,,854,1021400001040.0,"АБ ""Алданзолотобанк"" АО",НПАО,1990-11-21,Ликвидация,,854,"АБ ""Алданзолотобанк"" АО",АЛДАНЗОЛОТОБАНК
1559,,901,1023500002404.0,"АО ""Меткомбанк""",НПАО,1990-11-22,Ликвидация,,901,"АО ""Меткомбанк""",МЕТКОМБАНК
1560,,1930,,ИБВЗ,ОАО (АО),1992-06-17,Ликвидация,,1930,ИБВЗ,ИБВЗ
1561,,3302,1027700014308.0,"МБ ""СЕНАТОР"" (ООО)",ООО (Паевое),1996-08-20,Ликвидация,,3302,"МБ ""СЕНАТОР"" (ООО)",СЕНАТОР
1562,,2253,1027739043628.0,"КБ ""ВЕТБ"" АО",НПАО,1993-02-01,Ликвидация,,2253,"КБ ""ВЕТБ"" АО",ВЕТБ
1563,,3087,1026300001771.0,ОАО НТБ,ОАО (АО),1994-09-07,Ликвидация,,3087,ОАО НТБ,НТБ
1564,,926,1025200000143.0,"ОАО ГБ ""Нижний Новгород""",ОАО (АО),1992-06-24,Ликвидация,,926,"ОАО ГБ ""Нижний Новгород""",ГБ НИЖНИЙ НОВГОРОД
1565,,603,1027300000276.0,"ОАО ""СТРОЙПРОМБАНК""",ОАО (АО),1990-10-26,Ликвидация,,603,"ОАО ""СТРОЙПРОМБАНК""",СТРОЙПРОМБАНК
1566,,1569,1027739534536.0,"ООО КБ ""Красбанк""",ООО (Паевое),1991-09-13,Ликвидация,,1569,"ООО КБ ""Красбанк""",КРАСБАНК
1567,,1673,1020700000826.0,"ООО ""Банк ""Майский""",ООО (Паевое),1991-12-18,Ликвидация,,1673,"ООО ""Банк ""Майский""",МАЙСКИЙ
1568,,52,1027800001261.0,"ПАО ""Энергомашбанк""",ПАО,1991-12-03,Ликвидация,,52,"ПАО ""Энергомашбанк""",ЭНЕРГОМАШБАНК
1569,,1726,1030500001322.0,"ОАО ""Махачкалапромстройбанк""",ОАО (АО),1992-03-20,Ликвидация,,1726,"ОАО ""Махачкалапромстройбанк""",МАХАЧКАЛАПРОМСТРОЙБАНК
1570,,2993,1027700034130.0,"АКБ ""Кредиттраст""",ОАО (АО),1994-07-26,Ликвидация,,2993,"АКБ ""Кредиттраст""",КРЕДИТТРАСТ
1571,Расчетная НКО,2688,1020500000531.0,"НКО ""Транзит"" ООО",ООО (Паевое),1994-02-14,Ликвидация,,2688,"НКО ""Транзит"" ООО",ТРАНЗИТ
1572,,2828,,"Инвестиционный банк ""СОЗИДАНИЕ""",ТОО (Паевое),1994-05-19,Ликвидация,,2828,"Инвестиционный банк ""СОЗИДАНИЕ""",ИНВЕСТИЦИОННЫЙ БАНК СОЗИДАНИЕ
1573,,2797,1027739038942.0,"ОАО ""СТБ""",ОАО (АО),1994-04-19,Ликвидация,,2797,"ОАО ""СТБ""",СТБ
1574,,2399,1037700049276.0,"ООО КБ ""ЖИЛСТРОЙЭКОНОМБАНК""",ООО (Паевое),1993-06-25,Ликвидация,,2399,"ООО КБ ""ЖИЛСТРОЙЭКОНОМБАНК""",ЖИЛСТРОЙЭКОНОМБАНК
1575,,274,1037711002108.0,"КБ ""Технобанк""",ООО (Паевое),1991-09-18,Ликвидация,,274,"КБ ""Технобанк""",ТЕХНОБАНК
1576,,250,1057711006980.0,ОАО ЭЛБИМ БАНК,ОАО (АО),1992-08-18,Ликвидация,,250,ОАО ЭЛБИМ БАНК,ЭЛБИМ БАНК
1577,,3071,1027739586918.0,"ООО КБ ""ФДБ""",ООО (Паевое),1994-09-05,Ликвидация,,3071,"ООО КБ ""ФДБ""",ФДБ
1578,,340,1027700467134.0,"ООО КБ ""КОМИ ЭКСИМБАНК""",ООО (Паевое),1992-01-13,Ликвидация,,340,"ООО КБ ""КОМИ ЭКСИМБАНК""",КОМИ ЭКСИМБАНК
1579,,3004,,"""РЕГИНБАНК""",ТОО (Паевое),1994-07-28,Ликвидация,,3004,"""РЕГИНБАНК""",РЕГИНБАНК
1580,,1716,,Межэкономсбербанк,АОЗТ (АО),1992-01-04,Ликвидация,,1716,Межэкономсбербанк,МЕЖЭКОНОМСБЕРБАНК
1581,,2388,1022200526446.0,"АКБ ""АлтайБизнес-Банк"" (АО)",НПАО,1993-06-17,Ликвидация,,2388,"АКБ ""АлтайБизнес-Банк"" (АО)",АЛТАЙБИЗНЕС-БАНК
1582,,2641,1026900000038.0,"ОАО АКБ ""ГЕОИНВЕСТБАНК""",ОАО (АО),1994-01-04,Ликвидация,,2641,"ОАО АКБ ""ГЕОИНВЕСТБАНК""",ГЕОИНВЕСТБАНК
1583,,939,1036920005825.0,"КБ ""СТАКБАНК""",ООО (Паевое),1990-11-23,Ликвидация,,939,"КБ ""СТАКБАНК""",СТАКБАНК
1584,,1006,1020280000070.0,"ПАО ""Башпромбанк""",ПАО,1990-11-28,Ликвидация,,1006,"ПАО ""Башпромбанк""",БАШПРОМБАНК
1585,,2222,1027739176431.0,"ИКБ ""Инвесткомбанк БЭЛКОМ"" ООО",ООО (Паевое),1993-01-06,Ликвидация,,2222,"ИКБ ""Инвесткомбанк БЭЛКОМ"" ООО",ИКБ ИНВЕСТКОМБАНК БЭЛКОМ
1586,,2371,1027700275680.0,"ЗАО АКБ ""ЮСБ""",ЗАО (АО),1993-06-08,Ликвидация,,2371,"ЗАО АКБ ""ЮСБ""",ЮСБ
1587,,2314,1028600001980.0,"ОАО ""КОМВЕСБАНК""",ОАО (АО),1993-04-27,Ликвидация,,2314,"ОАО ""КОМВЕСБАНК""",КОМВЕСБАНК
1588,,1125,1026600001394.0,"ОАО ""Гранкомбанк""",ОАО (АО),1990-12-07,Ликвидация,,1125,"ОАО ""Гранкомбанк""",ГРАНКОМБАНК
1589,,1283,1024800004151.0,"АБ ""Липецккредит""",ОАО (АО),1990-12-25,Ликвидация,,1283,"АБ ""Липецккредит""",ЛИПЕЦККРЕДИТ
1590,,1121,1026700000051.0,"Банк ""Смолевич"" (ПАО)",ПАО,1990-12-07,Ликвидация,,1121,"Банк ""Смолевич"" (ПАО)",СМОЛЕВИЧ
1591,,1214,1026600000932.0,"ОАО ""Русь-Банк-Урал""",ОАО (АО),1990-12-17,Ликвидация,,1214,"ОАО ""Русь-Банк-Урал""",РУСЬ-БАНК-УРАЛ
1592,,1439,1027700540680.0,"Банк ""Возрождение"" (ПАО)",ПАО,1991-04-12,Ликвидация,,1439,"Банк ""Возрождение"" (ПАО)",ВОЗРОЖДЕНИЕ
1593,,1439,1027700540680.0,"Банк ""Возрождение"" (ПАО)",ПАО,1991-04-12,Ликвидация,,1439,"Банк ""Возрождение"" (ПАО)",ВОЗРОЖДЕНИЕ
1594,,3429,1021600008770.0,"ЗАО ""Альфа-Банк-Казань""",ЗАО (АО),2002-12-02,Ликвидация,,3429,"ЗАО ""Альфа-Банк-Казань""",АЛЬФА-БАНК-КАЗАНЬ
1595,,2082,1024900000179.0,"ОАО КБ ""Магаданский""",ОАО (АО),1992-09-22,Ликвидация,,2082,"ОАО КБ ""Магаданский""",МАГАДАНСКИЙ
1596,,1972,1021600002148.0,"АБ ""Девон-Кредит"" (ПАО)",ПАО,1992-07-22,Ликвидация,,1972,"АБ ""Девон-Кредит"" (ПАО)",ДЕВОН-КРЕДИТ
1597,,528,1020500002973.0,"КБ ""Дербентинвест"" ООО",ООО (Паевое),1990-10-19,Ликвидация,,528,"КБ ""Дербентинвест"" ООО",ДЕРБЕНТИНВЕСТ
1598,,872,,"АКБ ""Кургансоцбанк""",ОАО (АО),1990-11-22,Ликвидация,,872,"АКБ ""Кургансоцбанк""",КУРГАНСОЦБАНК
1599,,2730,1027700332384.0,"ООО ""НКБ""",ООО (Паевое),1994-03-04,Ликвидация,,2730,"ООО ""НКБ""",НКБ
1600,,2118,1047711002943.0,"ОАО КБ ""ФУНДАМЕНТ-БАНК""",ОАО (АО),1992-10-12,Ликвидация,,2118,"ОАО КБ ""ФУНДАМЕНТ-БАНК""",ФУНДАМЕНТ-БАНК
1601,,3528,1149204013397.0,"АО ""Севастопольский Морской банк""",НПАО,2014-08-15,Ликвидация,,3528,"АО ""Севастопольский Морской банк""",СЕВАСТОПОЛЬСКИЙ МОРСКОЙ БАНК
1602,,3154,1027700570523.0,"АКБ ""АЗИМУТ"" (ПАО)",ПАО,1994-11-14,Ликвидация,,3154,"АКБ ""АЗИМУТ"" (ПАО)",АЗИМУТ
1603,,1837,1032335035040.0,"АГИБ ""АНАПА-ИНВЕСТ"" (ООО)",ООО (Паевое),1992-03-27,Ликвидация,,1837,"АГИБ ""АНАПА-ИНВЕСТ"" (ООО)",АГИБ АНАПА-ИНВЕСТ
1604,,2814,1027700056691.0,"АКБ ""РГБ"" (ОАО)",ОАО (АО),1994-04-29,Ликвидация,,2814,"АКБ ""РГБ"" (ОАО)",РГБ
1605,,2529,1021300001029.0,"АО ""АКТИВ БАНК""",НПАО,1993-10-14,Ликвидация,,2529,"АО ""АКТИВ БАНК""",АКТИВ БАНК
1606,Расчетная НКО,3424,1027744004848.0,"НКО ЗАО ""МежрегионКлирингЦентр""",ЗАО (АО),2002-11-15,Ликвидация,,3424,"НКО ЗАО ""МежрегионКлирингЦентр""",МЕЖРЕГИОНКЛИРИНГЦЕНТР
1607,,703,,"БАНК ""ТОМЬ""",ОАО (АО),1990-11-02,Ликвидация,,703,"БАНК ""ТОМЬ""",ТОМЬ
1608,,2908,1037711003010.0,"АКБ ""Медпроминвестбанк"" (ОАО)",ОАО (АО),1994-06-21,Ликвидация,,2908,"АКБ ""Медпроминвестбанк"" (ОАО)",МЕДПРОМИНВЕСТБАНК
1609,Расчетная НКО,2435,1020500000267.0,"ООО РНКО ""УМУТ""",ООО (Паевое),1993-07-27,Ликвидация,,2435,"ООО РНКО ""УМУТ""",РНКО УМУТ
1610,,526,1032335014942.0,"АКБ ""Краснодарбанк""",ОАО (АО),1990-10-19,Ликвидация,,526,"АКБ ""Краснодарбанк""",КРАСНОДАРБАНК
1611,,2689,1037858021398.0,"ЗАО КБ ""Форбанк-СПБ""",ЗАО (АО),1994-02-14,Ликвидация,,2689,"ЗАО КБ ""Форбанк-СПБ""",ФОРБАНК-СПБ
1612,,563,,"ОАО УАКБ ""ТПСБ""",ОАО (АО),1990-10-24,Ликвидация,,563,"ОАО УАКБ ""ТПСБ""",УАКБ ТПСБ
1613,,1522,1026600001768.0,"ОАО ""Уралвнешторгбанк""",ОАО (АО),1991-07-17,Ликвидация,,1522,"ОАО ""Уралвнешторгбанк""",УРАЛВНЕШТОРГБАНК
1614,,3157,1027700063643.0,"АКБ ""ДЕЛОВАЯ МОСКВА"" (ОАО)",ОАО (АО),1994-11-14,Ликвидация,,3157,"АКБ ""ДЕЛОВАЯ МОСКВА"" (ОАО)",ДЕЛОВАЯ МОСКВА
1615,,1731,1043918501714.0,"ОАО ""Муниципальный коммерческий банк""",ОАО (АО),1992-03-26,Ликвидация,,1731,"ОАО ""Муниципальный коммерческий банк""",МУНИЦИПАЛЬНЫЙ
1616,,846,,"АКБ ""ЧЕРЛАК""",ЗАО (АО),1990-11-20,Ликвидация,,846,"АКБ ""ЧЕРЛАК""",ЧЕРЛАК
1617,,2478,1026100001916.0,"ОАО АБ ""Южный Торговый Банк""",ОАО (АО),1993-08-31,Ликвидация,,2478,"ОАО АБ ""Южный Торговый Банк""",ЮЖНЫЙ ТОРГОВЫЙ БАНК
1618,,1806,,"АКБ ""Карачаевск-Прогресс""",ЗАО (АО),1992-01-31,Ликвидация,,1806,"АКБ ""Карачаевск-Прогресс""",КАРАЧАЕВСК-ПРОГРЕСС
1619,,1624,,"ООО комбанк ""Сияжар""",ООО (Паевое),1991-11-20,Ликвидация,,1624,"ООО комбанк ""Сияжар""",КОМБАНК СИЯЖАР
1620,,3244,,нет,ООО (Паевое),1995-03-27,Ликвидация,,3244,нет,НЕТ
1621,,3046,1057711003459.0,"КБ ""Инвестиционный Промэнергобанк"" (ОАО)",ОАО (АО),1994-08-10,Ликвидация,,3046,"КБ ""Инвестиционный Промэнергобанк"" (ОАО)",ИНВЕСТИЦИОННЫЙ ПРОМЭНЕРГОБАНК
1622,,3083,,КЧСКБ,ООО (Паевое),1994-09-06,Ликвидация,,3083,КЧСКБ,КЧСКБ
1623,,2785,1037711004363.0,"АКБ ""АГРОТЕХПРОМБАНК""",ЗАО (АО),1994-04-07,Ликвидация,,2785,"АКБ ""АГРОТЕХПРОМБАНК""",АГРОТЕХПРОМБАНК
1624,,2246,1025900000697.0,ОАО Пермский банк развития,ОАО (АО),1993-01-26,Ликвидация,,2246,ОАО Пермский банк развития,ПЕРМСКИЙ БАНК РАЗВИТИЯ
1625,,141,,"АКБ ""ПОЛЮС-БАНК""",ЗАО (АО),1991-06-18,Ликвидация,,141,"АКБ ""ПОЛЮС-БАНК""",ПОЛЮС-БАНК
1626,,2925,1027739862985.0,"МКБ ""Объединенный горный банк"" (ООО)",ООО (Паевое),1994-06-27,Ликвидация,,2925,"МКБ ""Объединенный горный банк"" (ООО)",МКБ ОБЪЕДИНЕННЫЙ ГОРНЫЙ БАНК
1627,,2746,1037739121420.0,"АКБ ""КОДЕКС"" (ОАО)",ОАО (АО),1994-03-15,Ликвидация,,2746,"АКБ ""КОДЕКС"" (ОАО)",КОДЕКС
1628,Расчетная НКО,3342,1027739479987.0,"НКО ""ОРС"" (АО)",НПАО,1999-08-11,Ликвидация,,3342,"НКО ""ОРС"" (АО)",ОРС
1629,,2844,1024000001981.0,"ОАО ""ВЕКОМБАНК""",ОАО (АО),1994-05-16,Ликвидация,,2844,"ОАО ""ВЕКОМБАНК""",ВЕКОМБАНК
1630,,635,1027300001630.0,"""ПартнерКапиталБанк"" (АО)",НПАО,1990-10-30,Ликвидация,,635,"""ПартнерКапиталБанк"" (АО)",ПАРТНЕРКАПИТАЛБАНК
1631,,2297,,НБ-БАНК,АООТ (АО),1993-04-16,Ликвидация,,2297,НБ-БАНК,НБ-БАНК
1632,,2971,1051300000047.0,"ООО КБПФ ""Мордовия""",ООО (Паевое),1994-07-18,Ликвидация,,2971,"ООО КБПФ ""Мордовия""",КБПФ МОРДОВИЯ
1633,Расчетная НКО,3386,1037739608697.0,"ООО ""НРК""",ООО (Паевое),2001-11-05,Ликвидация,,3386,"ООО ""НРК""",НРК
1634,,740,1021300000150.0,"ООО КБ ""БЛАГОВЕСТ""",ООО (Паевое),1990-11-13,Ликвидация,,740,"ООО КБ ""БЛАГОВЕСТ""",БЛАГОВЕСТ
1635,,2717,1027739670529.0,"АБ ""РИНК-БАНК"" ОАО",ОАО (АО),1994-02-24,Ликвидация,,2717,"АБ ""РИНК-БАНК"" ОАО",РИНК-БАНК
1636,,2822,1036200006446.0,"АКБ ""Рязаньуниверсалбанк""",ЗАО (АО),1994-05-10,Ликвидация,,2822,"АКБ ""Рязаньуниверсалбанк""",РЯЗАНЬУНИВЕРСАЛБАНК
1637,,2422,1025400001648.0,"ООО КБ ""Новосибкоопбанк""",ООО (Паевое),1993-07-12,Ликвидация,,2422,"ООО КБ ""Новосибкоопбанк""",НОВОСИБКООПБАНК
1638,Расчетная НКО,3469,1077711000025.0,"НКО ""Расчетная палата МРС"" (ЗАО)",ЗАО (АО),2007-01-29,Ликвидация,,3469,"НКО ""Расчетная палата МРС"" (ЗАО)",РАСЧЕТНАЯ ПАЛАТА МРС
1639,,410,1025400003420.0,"ОАО ""НОМОС-БАНК-Сибирь""",ОАО (АО),1990-09-20,Ликвидация,,410,"ОАО ""НОМОС-БАНК-Сибирь""",НОМОС-БАНК-СИБИРЬ
1640,,3220,1037711000887.0,КБС (ЗАО),ЗАО (АО),1995-02-15,Ликвидация,,3220,КБС (ЗАО),КБС
1641,,3153,,"АКБ ""Минерва""",ЗАО (АО),1994-11-09,Ликвидация,,3153,"АКБ ""Минерва""",МИНЕРВА
1642,,2336,1027700073884.0,"ЗАО АКБ ""Юникбанк""",ЗАО (АО),1993-04-29,Ликвидация,,2336,"ЗАО АКБ ""Юникбанк""",ЮНИКБАНК
1643,,65,1026600001955.0,"ООО КБ ""КОЛЬЦО УРАЛА""",ООО (Паевое),1991-02-14,Ликвидация,,65,"ООО КБ ""КОЛЬЦО УРАЛА""",КОЛЬЦО УРАЛА
1644,,2936,1030500000310.0,"ООО КБ ""АЭРОБИЗНЕСБАНК""",ООО (Паевое),1994-06-29,Ликвидация,,2936,"ООО КБ ""АЭРОБИЗНЕСБАНК""",АЭРОБИЗНЕСБАНК
1645,,2931,1025500001427.0,"ОАО Банк ""Соотечественники""",ОАО (АО),1994-06-27,Ликвидация,,2931,"ОАО Банк ""Соотечественники""",СООТЕЧЕСТВЕННИКИ
1646,,2873,1022200528415.0,"АО ""НАРОДНЫЙ ЗЕМЕЛЬНО-ПРОМЫШЛЕННЫЙ БАНК""",НПАО,1994-06-09,Ликвидация,,2873,"АО ""НАРОДНЫЙ ЗЕМЕЛЬНО-ПРОМЫШЛЕННЫЙ БАНК""",НАРОДНЫЙ ЗЕМЕЛЬНО-ПРОМЫШЛЕННЫЙ БАНК
1647,,2560,1027000000060.0,"ОАО ""ТНГИБАНК""",ОАО (АО),1993-11-01,Ликвидация,,2560,"ОАО ""ТНГИБАНК""",ТНГИБАНК
1648,,1804,,"АКБ""БЕЛОНФИНБАНК""",АООТ (АО),1992-02-05,Ликвидация,,1804,"АКБ""БЕЛОНФИНБАНК""",АКББЕЛОНФИНБАНК
